id,text,module,section
REQ-0029,The look and feel of the system shall conform to the user interface standards of the smart device.,Look-and-Feel,PROMISE-exp
REQ-0030,The user interface shall have standard menus buttons for navigation,Look-and-Feel,PROMISE-exp
REQ-0031,The system shall have a professional appearance,Look-and-Feel,PROMISE-exp
REQ-0032,The product shall have a consistent color scheme and fonts.,Look-and-Feel,PROMISE-exp
REQ-0033,The system shall be used by realtors with no training.,Usability,PROMISE-exp
REQ-0034,The system shall be intuitive and self explanatory.,Usability,PROMISE-exp
REQ-0035,The product shall be easy for a realtor to learn.,Usability,PROMISE-exp
REQ-0036,The product shall use symbols and words that are naturally understandable by the realtor community.,Usability,PROMISE-exp
REQ-0037,The product shall produce search results in an acceptable time,Performance,PROMISE-exp
REQ-0038,The search results shall be returned no later 30 seconds  after the user has entered the search criteria,Performance,PROMISE-exp
REQ-0039,The product shall generate a CMA report in an acceptable time.,Performance,PROMISE-exp
REQ-0040,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,Performance,PROMISE-exp
REQ-0041,The product shall synchronize contacts and appointments in an acceptable time.,Performance,PROMISE-exp
REQ-0042,The product shall synchronize with the office system every hour.,Performance,PROMISE-exp
REQ-0043,The product shall be available for use 24 hours per day 365 days  per year,Availability,PROMISE-exp
REQ-0044,Out of 1000 accesses to the system the system is available 999 times.,Availability,PROMISE-exp
REQ-0045,The product shall operate in offline mode whenever internet connection is unavailable.,Fault-Tolerance,PROMISE-exp
REQ-0046,The product shall allow the user to view previously downloaded search results CMA reports  and appointments.,Fault-Tolerance,PROMISE-exp
REQ-0047,The product shall retain user preferences in the event of a failure.,Fault-Tolerance,PROMISE-exp
REQ-0048,100% of saved user preferences shall be restored when system comes back online.,Fault-Tolerance,PROMISE-exp
REQ-0049,The product shall be able to support multiple remote users,Scalability,PROMISE-exp
REQ-0050,The product shall be able support 1000 simultaneous users.,Scalability,PROMISE-exp
REQ-0051,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,Scalability,PROMISE-exp
REQ-0052,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,Usability,PROMISE-exp
REQ-0053,90% of untrained realtors shall be able to install the product on their device without printed instructions,Usability,PROMISE-exp
REQ-0054,The product is expected to run on Windows CE and Palm operating systems.,Portability,PROMISE-exp
REQ-0055,Only registered realtors shall be able to access the system.,Security,PROMISE-exp
REQ-0056,Every user of the system shall be authenticated and authorized.,Security,PROMISE-exp
REQ-0057,The product shall prevent its data from incorrect data being introduced.,Security,PROMISE-exp
REQ-0058,The system shall allow a real estate agent to query MLS information,Functional,PROMISE-exp
REQ-0059,The user shall be able to get driving directions to a selected property,Functional,PROMISE-exp
REQ-0060,The user shall be able to download appointments and contact information for clients,Functional,PROMISE-exp
REQ-0061,The system shall display clear property images in the search results,Functional,PROMISE-exp
REQ-0062,The system shall update or create new property listings in the MLS,Functional,PROMISE-exp
REQ-0063,Realtor shall be able to generate a CMA report based on property criteria,Functional,PROMISE-exp
REQ-0064,The system shall be able to call the seller or buyer to schedule an appointment,Functional,PROMISE-exp
REQ-0065,The realtor shall be notified of new client appointments after automatic synchronization with office system,Functional,PROMISE-exp
REQ-0066,The realtor shall be able to retrieve a map showing property locations for a specified area,Functional,PROMISE-exp
REQ-0067,The system shall notify the realtor when a seller or buyer responds to an appointment request,Functional,PROMISE-exp
REQ-0068,The product shall allow the user to save the property search results.,Functional,PROMISE-exp
REQ-0069,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,Usability,PROMISE-exp
REQ-0070,All of the users shall be able to use the system after one day of training.,Usability,PROMISE-exp
REQ-0071,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,Usability,PROMISE-exp
REQ-0072,The number of mistakes noted by the students shall be decreased by 50% in the first year.,Usability,PROMISE-exp
REQ-0073,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,Usability,PROMISE-exp
REQ-0074,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,Usability,PROMISE-exp
REQ-0075,The system shall use symbols and words that are naturally understandable by the user community.,Usability,PROMISE-exp
REQ-0076,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,Usability,PROMISE-exp
REQ-0077,Staff members shall be able to complete a set of tasks in a timely manner.,Performance,PROMISE-exp
REQ-0078,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,Performance,PROMISE-exp
REQ-0079,The system shall be available for use between the hours of 8am and 6pm.,Availability,PROMISE-exp
REQ-0080,The system shall achieve 95% up time.,Availability,PROMISE-exp
REQ-0081,system shall be able to handle all of the user requests/usage during business hours.,Scalability,PROMISE-exp
REQ-0082,The system shall cater to 10 simultaneous users from 9am to 5pm.,Scalability,PROMISE-exp
REQ-0083,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,Scalability,PROMISE-exp
REQ-0084,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,Scalability,PROMISE-exp
REQ-0085,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,Operational,PROMISE-exp
REQ-0086,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,Operational,PROMISE-exp
REQ-0087,The system shall operate within the Windows XP Professional operating system.,Operational,PROMISE-exp
REQ-0088,The system shall interface with CampusConnect\92s central server,Operational,PROMISE-exp
REQ-0089,The system shall interface with the faculty central server.,Operational,PROMISE-exp
REQ-0090,The system shall interface with the student master server.,Operational,PROMISE-exp
REQ-0091,We must be able to interface with any HTML browser.,Operational,PROMISE-exp
REQ-0092,Only authorized users shall have access to clinical site information.,Security,PROMISE-exp
REQ-0093,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,Security,PROMISE-exp
REQ-0094,Only authorized users shall have access to students\92 personal information.,Security,PROMISE-exp
REQ-0095,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students\92 personal information.,Security,PROMISE-exp
REQ-0096,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,Security,PROMISE-exp
REQ-0097,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,Security,PROMISE-exp
REQ-0098,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,Security,PROMISE-exp
REQ-0099,The system shall protect private information in accordance with the organization\92s information policy.,Security,PROMISE-exp
REQ-0100,The system shall be built such that it is as secure as possible from malicious interference.,Security,PROMISE-exp
REQ-0101,The system shall use the organization\92s standard virus protection software to help monitor threats to itself.,Security,PROMISE-exp
REQ-0102,A cohort shall be associated to one Program of Study offered by the department.,Functional,PROMISE-exp
REQ-0103,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,Functional,PROMISE-exp
REQ-0104,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,Functional,PROMISE-exp
REQ-0105,Students added to a cohort shall be eligible for the cohort\92s Program of Study.,Functional,PROMISE-exp
REQ-0106,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,Functional,PROMISE-exp
REQ-0107,For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,Functional,PROMISE-exp
REQ-0108,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,Functional,PROMISE-exp
REQ-0109,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,Functional,PROMISE-exp
REQ-0110,Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,Functional,PROMISE-exp
REQ-0111,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,Functional,PROMISE-exp
REQ-0112,A class shall be either a non-clinical class or a clinical class.,Functional,PROMISE-exp
REQ-0113,A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,Functional,PROMISE-exp
REQ-0114,A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,Functional,PROMISE-exp
REQ-0115,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,Functional,PROMISE-exp
REQ-0116,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,Functional,PROMISE-exp
REQ-0117,Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,Functional,PROMISE-exp
REQ-0118,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members\92 planning purposes.,Functional,PROMISE-exp
REQ-0119,The report of needed classes shall include (but not be limited to) classes to be offered  number of sections needed  number of labs needed  and room types needed.,Functional,PROMISE-exp
REQ-0120,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,Functional,PROMISE-exp
REQ-0121,Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,Functional,PROMISE-exp
REQ-0122,Clinical site information shall include (but not be limited to) the name of the site  contact person  and contact information.,Functional,PROMISE-exp
REQ-0123,Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,Functional,PROMISE-exp
REQ-0124,A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.,Functional,PROMISE-exp
REQ-0125,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,Functional,PROMISE-exp
REQ-0126,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,Functional,PROMISE-exp
REQ-0127,The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,Functional,PROMISE-exp
REQ-0128,Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,Functional,PROMISE-exp
REQ-0129,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,Functional,PROMISE-exp
REQ-0130,A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.,Functional,PROMISE-exp
REQ-0131,The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.,Functional,PROMISE-exp
REQ-0132,The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).,Functional,PROMISE-exp
REQ-0133,The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.,Functional,PROMISE-exp
REQ-0134,The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.,Functional,PROMISE-exp
REQ-0135,The system shall be able to display a printable summary of the system log.,Functional,PROMISE-exp
REQ-0136,The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,Functional,PROMISE-exp
REQ-0137,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,Functional,PROMISE-exp
REQ-0138,The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,Functional,PROMISE-exp
REQ-0139,The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.,Functional,PROMISE-exp
REQ-0140,The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,Functional,PROMISE-exp
REQ-0141,The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohort\92s program of study and changes to a given week\92s schedule (lab cancelled this week due to instructor illness).,Functional,PROMISE-exp
REQ-0142,The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a student\92s status from full time to part time and moving a student to a different clinical section.,Functional,PROMISE-exp
REQ-0143,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.,Functional,PROMISE-exp
REQ-0144,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name  and required classes for that Program of Study.,Functional,PROMISE-exp
REQ-0145,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site  including the clinical site name  site contact person  contact information  and address.,Functional,PROMISE-exp
REQ-0146,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section  including the clinical site name the department/section for the lab  the class instructor day and time of lab and contact information.,Functional,PROMISE-exp
REQ-0147,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name phone number e-mail status (full time or part time) and program of study.,Functional,PROMISE-exp
REQ-0148,The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,Look-and-Feel,PROMISE-exp
REQ-0149,All screens created as part of the Disputes application must comply with corporate standards for interface creation.,Look-and-Feel,PROMISE-exp
REQ-0150,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,Usability,PROMISE-exp
REQ-0151,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,Usability,PROMISE-exp
REQ-0152,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,Usability,PROMISE-exp
REQ-0153,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,Usability,PROMISE-exp
REQ-0154,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,Performance,PROMISE-exp
REQ-0155,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,Performance,PROMISE-exp
REQ-0156,The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday \96 Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,Operational,PROMISE-exp
REQ-0157,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,Operational,PROMISE-exp
REQ-0158,The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.,Operational,PROMISE-exp
REQ-0159,The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,Operational,PROMISE-exp
REQ-0160,The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,Operational,PROMISE-exp
REQ-0161,The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant\92s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,Operational,PROMISE-exp
REQ-0162,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,Security,PROMISE-exp
REQ-0163,Only users with Update access must be able to initiate dispute requests.,Security,PROMISE-exp
REQ-0164,The Disputes application shall ensure that only authorized users are allowed to logon to the application.,Security,PROMISE-exp
REQ-0165,All authorized users  once authenticated must be able to logon to the Disputes System,Security,PROMISE-exp
REQ-0166,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user\92s access level. The report will be reviewed for auditing purposes.,Security,PROMISE-exp
REQ-0167,All additions of new users and modifications to user\92s access shall be recorded on the User Report.,Security,PROMISE-exp
REQ-0168,If a user account is revoked  it can only be re-instantiated by the System Administrator.,Security,PROMISE-exp
REQ-0169,Only the System Administrator shall be able to reset a revoked user logon account,Security,PROMISE-exp
REQ-0170,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,Security,PROMISE-exp
REQ-0171,All updates to data files or database must be initiated from the Disputes System.,Security,PROMISE-exp
REQ-0172,The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,Legal,PROMISE-exp
REQ-0173,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,Legal,PROMISE-exp
REQ-0174,The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,Legal,PROMISE-exp
REQ-0175,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,Legal,PROMISE-exp
REQ-0176,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,Legal,PROMISE-exp
REQ-0177,All actions that modify an existing dispute case must be recorded in the case history.,Legal,PROMISE-exp
REQ-0178,The Disputes System must be accessible by both internal and external users.,Functional,PROMISE-exp
REQ-0179,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,Functional,PROMISE-exp
REQ-0180,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,Functional,PROMISE-exp
REQ-0181,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,Functional,PROMISE-exp
REQ-0182,The Disputes System shall provide view access capability for authorized users of the application.,Functional,PROMISE-exp
REQ-0183,The Disputes System shall provide update access capability for authorized users of the application.,Functional,PROMISE-exp
REQ-0184,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,Functional,PROMISE-exp
REQ-0185,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,Functional,PROMISE-exp
REQ-0186,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,Functional,PROMISE-exp
REQ-0187,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,Functional,PROMISE-exp
REQ-0188,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,Functional,PROMISE-exp
REQ-0189,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,Functional,PROMISE-exp
REQ-0190,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,Functional,PROMISE-exp
REQ-0191,The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,Functional,PROMISE-exp
REQ-0192,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,Functional,PROMISE-exp
REQ-0193,The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,Functional,PROMISE-exp
REQ-0194,The Disputes System must provide the ability to view existing dispute cases.,Functional,PROMISE-exp
REQ-0195,The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,Functional,PROMISE-exp
REQ-0196,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,Functional,PROMISE-exp
REQ-0197,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,Functional,PROMISE-exp
REQ-0198,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,Functional,PROMISE-exp
REQ-0199,The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,Functional,PROMISE-exp
REQ-0200,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,Functional,PROMISE-exp
REQ-0201,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,Functional,PROMISE-exp
REQ-0202,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,Functional,PROMISE-exp
REQ-0203,The product must support Internet Explorer 5.5 and above.,Operational,PROMISE-exp
REQ-0204,The product must support Mozilla Firefox 1.0 and above.,Operational,PROMISE-exp
REQ-0205,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,Operational,PROMISE-exp
REQ-0206,The product shall run on the existing hardware for all environments.,Operational,PROMISE-exp
REQ-0207,The product shall adhere to the corporate Architecture guidelines,Operational,PROMISE-exp
REQ-0208,The product shall comply with corporate User Interface Guidelines,Look-and-Feel,PROMISE-exp
REQ-0209,The product shall comply with corporate color scheme,Look-and-Feel,PROMISE-exp
REQ-0210,The appearance of the product shall appear professional,Look-and-Feel,PROMISE-exp
REQ-0211,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,Usability,PROMISE-exp
REQ-0212,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,Usability,PROMISE-exp
REQ-0213,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,Usability,PROMISE-exp
REQ-0214,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,Usability,PROMISE-exp
REQ-0215,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,Usability,PROMISE-exp
REQ-0216,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,Performance,PROMISE-exp
REQ-0217,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,Performance,PROMISE-exp
REQ-0218,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,Performance,PROMISE-exp
REQ-0219,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,Performance,PROMISE-exp
REQ-0220,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,Availability,PROMISE-exp
REQ-0221,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,Availability,PROMISE-exp
REQ-0222,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,Scalability,PROMISE-exp
REQ-0223,The average number of recycled parts records per day shall be 50 000.,Scalability,PROMISE-exp
REQ-0224,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,Scalability,PROMISE-exp
REQ-0225,For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,Operational,PROMISE-exp
REQ-0226,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,Operational,PROMISE-exp
REQ-0227,The maintenance of the product will fall within the established corporate maintenance windows.,Operational,PROMISE-exp
REQ-0228,The product shall be supported using the corporate support center.,Operational,PROMISE-exp
REQ-0229,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,Operational,PROMISE-exp
REQ-0230,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,Security,PROMISE-exp
REQ-0231,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,Security,PROMISE-exp
REQ-0232,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,Security,PROMISE-exp
REQ-0233,Only valid data shall be entered into the system. No invalid data shall be entered into the system.,Security,PROMISE-exp
REQ-0234,One insurance company shall not be able to view another insurance companys claim data.,Security,PROMISE-exp
REQ-0235,The product shall free of computer viruses.,Security,PROMISE-exp
REQ-0236,The system shall prevent malicious attacks including denial of service.,Security,PROMISE-exp
REQ-0237,The product must comply with Sarbanes-Oxley.,Legal,PROMISE-exp
REQ-0238,The product shall comply with the estimatics laws relating to recycled parts usage.,Legal,PROMISE-exp
REQ-0239,The product shall comply with insurance regulations regarding claims processing.,Legal,PROMISE-exp
REQ-0240,The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,Functional,PROMISE-exp
REQ-0241,The vehicle data shall include vehicle year make and model,Functional,PROMISE-exp
REQ-0242,The vehicle location shall include street address city state and zipcode,Functional,PROMISE-exp
REQ-0243,The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,Functional,PROMISE-exp
REQ-0244,The search radius shall be between 1 and 30 miles,Functional,PROMISE-exp
REQ-0245,The system shall locate the preferred repair facility with the highest ratings for the input criteria,Functional,PROMISE-exp
REQ-0246,The adjuster shall enter the preferred repair facility on the estimate assignment.,Functional,PROMISE-exp
REQ-0247,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,Functional,PROMISE-exp
REQ-0248,The preferred repair facility shall be returned to the user.,Functional,PROMISE-exp
